price,title,location,lat,lng,Referencia,Clasificación,Baños,Conservación,Superficie construida,Habitaciones
130000.0,"Apartamento en venta en Avenida Alejandro Rubio, cerca de Calle Mayor","Avenida Alejandro Rubio, cerca de Calle Mayor. Guadalix de la Sierra",40.7854582,-3.7017473, INB35-875-GS2565,  En trámite, 1, En buen estado, 70 m², 2
698000.0,"Apartamento en venta en Calle del Marqués de Monteagudo, 22","Calle del Marqués de Monteagudo, 22. Guindalera, Salamanca (Madrid Capital)",40.43746745716,-3.6685633592981, EP805-1274,  Disponible, 2,, 94 m², 2
425000.0,Apartamento en venta en Guindalera,"Guindalera, Salamanca (Madrid Capital)",40.4324129,-3.6674945, EP805-1290,  En trámite, 1,, 78 m², 3
429000.0,Apartamento en venta en Guindalera,"Guindalera, Salamanca (Madrid Capital)",40.4339998,-3.6682245, GM20-189216,  En trámite, 1, A estrenar, 53 m², 1
360000.0,"Apartamento en venta en Calle de Alejandro Villegas, 28, cerca de Calle de Pegaso","Calle de Alejandro Villegas, 28, cerca de Calle de Pegaso. Canillas, Hortaleza (Madrid Capital)",40.4650097,-3.6488505, EP805-1304,  Pendiente de completar, 1,, 71 m², 2
140260.0,Apartamento en venta en Iglesia,Humanes de Madrid,40.2494629,-3.8295042, 500185-007983,  Disponible, 1, Reformado, 53 m², 1
950000.0,Apartamento en venta en Goya,"Ibiza, Retiro (Madrid Capital)",40.4205588,-3.6783814, IFC76282-VR130923MC,  En trámite, 2, A estrenar, 110 m², 3
965000.0,Apartamento en venta en Ibiza,"Ibiza, Retiro (Madrid Capital)",40.4178077,-3.6701719, DA3-MAD42578,  En trámite, 2,, 123 m², 2
840000.0,Apartamento en venta en Ibiza,"Ibiza, Retiro (Madrid Capital)",40.4179183,-3.6730201, DA3-MAD44299,  En trámite, 2,, 100 m², 2
670000.0,Apartamento en venta en Ibiza,"Ibiza, Retiro (Madrid Capital)",40.4181733,-3.6704815, DA3-MAD44508,  En trámite, 2,, 125 m², 4
1150000.0,Apartamento en venta en Ibiza,"Ibiza, Retiro (Madrid Capital)",40.4156184,-3.6775496, DA3-MAD42024,  En trámite, 3,, 158 m², 4
,,,,,,,,,,
225000.0,Apartamento en venta en Jardín de los Reyes-Parque Real,Jardín de los Reyes-Parque Real (El Escorial),40.586606,-4.1333402, MS301-971196,  En trámite, 2, En buen estado, 85 m², 3
,Apartamento en venta en Retiro,"Jerónimos, Retiro (Madrid Capital)",40.4174449,-3.6892807, SA88-DS-P77308,  Disponible, 5, A reformar, 730 m², 6
759000.0,Apartamento en venta en Retiro,"Jerónimos, Retiro (Madrid Capital)",40.4149821,-3.6902737, IF77045-I-00WWMU-W-02QS85,  En trámite, 1,, 55 m², 1
247500.0,Apartamento en venta en Chueca,"Justicia-Chueca, Centro (Madrid Capital)",40.4243555,-3.6974291, SA4711-ARTE000081/10440,  Disponible, 1,, 54 m², 1
2600000.0,Apartamento en venta en Recoletos,"Justicia-Chueca, Centro (Madrid Capital)",40.4219726,-3.6925944, SA4824-SYT-568/10753,  No indicado, 4,, 382 m², 3
